user_id,home_location,preferred_payment_type,average_transaction_amount,transaction_amount_std_dev,favorite_merchants,active_start_hour,active_end_hour,known_devices,travel_frequency,risk_tolerance
U00001,Bangalore,Card,2573.93,1317.7,Netflix|Hotstar|Amazon|BigBasket|McDonalds,9,23,D00001-A|D00001-B,0.17,High
U00002,Kolkata,Card,4534.48,2130.45,Hotstar|Myntra|Amazon|IRCTC|McDonalds,8,21,D00002-A|D00002-B,0.22,High
U00003,Kolkata,UPI,3875.92,2352.7,Hotstar|Starbucks|Spotify|MakeMyTrip|McDonalds,8,22,D00003-A|D00003-B,0.05,High
U00004,Hyderabad,Card,4068.79,1802.62,IRCTC|MakeMyTrip|BigBasket|BookMyShow|Flipkart,7,22,D00004-A|D00004-B,0.21,Low
U00005,Ahmedabad,Card,4146.47,2274.22,BookMyShow|Starbucks|Hotstar|Swiggy|BigBasket,8,20,D00005-A|D00005-B,0.14,Medium
U00006,Chennai,Card,3517.28,1705.65,Spotify|BookMyShow|Groww|PhonePe|Netflix,11,22,D00006-A|D00006-B,0.2,Medium
U00007,Ahmedabad,Card,4253.42,2548.55,Flipkart|Ola|Myntra|Netflix|BookMyShow,8,23,D00007-A|D00007-B,0.23,High
U00008,Mumbai,NetBanking,2708.09,1001.62,Swiggy|Amazon|Myntra|BookMyShow|BigBasket,11,19,D00008-A|D00008-B,0.24,Low
U00009,Hyderabad,NetBanking,563.05,210.62,Amazon|Groww|Starbucks|Zerodha|Uber,7,20,D00009-A|D00009-B,0.1,Low
U00010,Kolkata,Card,2776.96,1622.76,Swiggy|Flipkart|Paytm|McDonalds|Myntra,11,23,D00010-A|D00010-B,0.05,Low
U00011,Chennai,Card,954.98,417.8,McDonalds|Groww|Netflix|Flipkart|Swiggy,6,20,D00011-A|D00011-B,0.25,Medium
U00012,Delhi,Wallet,699.21,303.01,Hotstar|Netflix|Flipkart|Myntra|BigBasket,11,21,D00012-A|D00012-B,0.09,High
U00013,Delhi,Card,1264.09,787.81,BigBasket|Paytm|Netflix|Spotify|Zerodha,7,20,D00013-A|D00013-B,0.19,Medium
U00014,Hyderabad,UPI,1762.7,1013.58,IRCTC|Paytm|Hotstar|Uber|Spotify,9,21,D00014-A|D00014-B,0.16,Medium
U00015,Kolkata,Wallet,1104.12,233.22,BigBasket|IRCTC|Zomato|MakeMyTrip|Ola,6,21,D00015-A|D00015-B,0.12,Low
U00016,Kolkata,NetBanking,2781.05,1409.5,Myntra|Starbucks|Paytm|Flipkart|PhonePe,11,19,D00016-A|D00016-B,0.04,Low
U00017,Pune,UPI,3936.29,1660.5,McDonalds|Flipkart|Swiggy|MakeMyTrip|Zerodha,9,20,D00017-A|D00017-B,0.16,High
U00018,Chennai,Wallet,3274.16,1408.56,BookMyShow|Myntra|Amazon|Flipkart|Netflix,9,19,D00018-A|D00018-B,0.15,Medium
U00019,Hyderabad,UPI,2744.29,1594.02,Ola|IRCTC|Uber|Swiggy|Spotify,8,19,D00019-A|D00019-B,0.13,Low
U00020,Hyderabad,NetBanking,3969.25,1154.45,Hotstar|Zomato|Amazon|McDonalds|Swiggy,10,21,D00020-A|D00020-B,0.11,High
U00021,Delhi,Wallet,3292.79,1660.43,Netflix|Spotify|Swiggy|Paytm|BigBasket,6,22,D00021-A|D00021-B,0.02,Low
U00022,Bangalore,Card,1383.94,376.41,Ola|McDonalds|Starbucks|Amazon|BigBasket,7,21,D00022-A|D00022-B,0.25,Low
U00023,Kolkata,NetBanking,3220.91,1925.55,Flipkart|Amazon|IRCTC|Netflix|PhonePe,10,22,D00023-A|D00023-B,0.24,Medium
U00024,Ahmedabad,UPI,2698.29,783.42,MakeMyTrip|BookMyShow|Paytm|Spotify|Uber,8,23,D00024-A|D00024-B,0.06,Medium
U00025,Bangalore,Card,2318.49,616.76,BookMyShow|BigBasket|Flipkart|Netflix|Paytm,6,23,D00025-A|D00025-B,0.12,High
U00026,Delhi,Card,1214.94,529.99,PhonePe|IRCTC|Spotify|Groww|Paytm,6,22,D00026-A|D00026-B,0.13,Low
U00027,Delhi,Wallet,4823.38,2299.09,Netflix|PhonePe|Zomato|BookMyShow|Hotstar,7,20,D00027-A|D00027-B,0.18,High
U00028,Pune,Card,3783.2,2098.94,Swiggy|Paytm|Netflix|Myntra|Zomato,6,20,D00028-A|D00028-B,0.25,Medium
U00029,Ahmedabad,UPI,381.26,156.09,BookMyShow|Uber|MakeMyTrip|Hotstar|Myntra,6,21,D00029-A|D00029-B,0.07,Low
U00030,Delhi,UPI,4938.74,2656.26,Starbucks|Flipkart|Zomato|Paytm|Netflix,8,22,D00030-A|D00030-B,0.2,High
U00031,Chennai,Wallet,4637.87,2409.12,Swiggy|Groww|Zomato|Netflix|Amazon,8,21,D00031-A|D00031-B,0.08,Medium
U00032,Pune,NetBanking,332.01,159.93,Paytm|Uber|Flipkart|Ola|MakeMyTrip,7,23,D00032-A|D00032-B,0.17,High
U00033,Pune,UPI,4400.4,2520.73,Zerodha|Zomato|Starbucks|Spotify|Paytm,10,20,D00033-A|D00033-B,0.05,Low
U00034,Bangalore,Wallet,1494.97,332.31,IRCTC|Swiggy|MakeMyTrip|BigBasket|Uber,9,23,D00034-A|D00034-B,0.03,Low
U00035,Pune,Card,4025.08,1709.04,BigBasket|Hotstar|MakeMyTrip|Starbucks|McDonalds,8,19,D00035-A|D00035-B,0.07,High
U00036,Chennai,Wallet,4228.9,2046.2,McDonalds|Flipkart|Swiggy|BigBasket|Zerodha,11,22,D00036-A|D00036-B,0.12,Low
U00037,Bangalore,NetBanking,1685.51,732.83,Amazon|Starbucks|Paytm|BookMyShow|Groww,8,22,D00037-A|D00037-B,0.11,Medium
U00038,Kolkata,NetBanking,2831.56,1553.9,Amazon|Netflix|Groww|PhonePe|Hotstar,6,22,D00038-A|D00038-B,0.13,High
U00039,Pune,Wallet,2332.1,483.06,PhonePe|Ola|Starbucks|Swiggy|Flipkart,6,20,D00039-A|D00039-B,0.11,High
U00040,Mumbai,Wallet,4305.31,1469.36,Uber|McDonalds|Zomato|BookMyShow|Netflix,7,19,D00040-A|D00040-B,0.08,High
U00041,Delhi,Wallet,313.48,179.67,McDonalds|Amazon|Starbucks|BookMyShow|Spotify,10,19,D00041-A|D00041-B,0.06,Low
U00042,Bangalore,UPI,3615.76,1153.53,Amazon|Starbucks|Netflix|Flipkart|Groww,8,22,D00042-A|D00042-B,0.07,High
U00043,Hyderabad,Card,1376.53,294.66,MakeMyTrip|BookMyShow|Spotify|Zerodha|Amazon,10,19,D00043-A|D00043-B,0.08,High
U00044,Kolkata,NetBanking,1291.83,310.06,Netflix|PhonePe|Groww|Amazon|Zerodha,8,21,D00044-A|D00044-B,0.12,Medium
U00045,Kolkata,Card,1091.38,426.41,Swiggy|Zerodha|BigBasket|PhonePe|Groww,6,21,D00045-A|D00045-B,0.19,Low
U00046,Kolkata,Card,4705.83,1952.57,BookMyShow|Uber|Amazon|IRCTC|Zomato,11,22,D00046-A|D00046-B,0.22,Medium
U00047,Bangalore,NetBanking,3572.68,1017.35,BigBasket|IRCTC|McDonalds|Myntra|Groww,10,23,D00047-A|D00047-B,0.2,Medium
U00048,Mumbai,UPI,3465.38,1307.78,Hotstar|Myntra|Ola|Groww|BookMyShow,11,20,D00048-A|D00048-B,0.1,Low
U00049,Delhi,Wallet,4876.88,1039.36,PhonePe|Zerodha|McDonalds|Uber|Zomato,11,22,D00049-A|D00049-B,0.23,Low
U00050,Delhi,Card,4576.58,2874.87,Zomato|Netflix|Myntra|Hotstar|Flipkart,10,21,D00050-A|D00050-B,0.18,Medium
U00051,Bangalore,UPI,1594.14,1018.25,Zerodha|Swiggy|PhonePe|BigBasket|Hotstar,11,20,D00051-A|D00051-B,0.05,High
U00052,Mumbai,Wallet,1409.71,742.6,MakeMyTrip|IRCTC|BigBasket|Myntra|Amazon,11,19,D00052-A|D00052-B,0.05,Medium
U00053,Kolkata,Card,2210.06,1527.2,Spotify|MakeMyTrip|Zomato|Flipkart|Zerodha,11,22,D00053-A|D00053-B,0.21,Low
U00054,Bangalore,UPI,2331.8,836.09,BookMyShow|Groww|BigBasket|PhonePe|MakeMyTrip,8,19,D00054-A|D00054-B,0.06,Medium
U00055,Mumbai,NetBanking,3743.59,2285.37,Myntra|Paytm|BigBasket|MakeMyTrip|BookMyShow,9,22,D00055-A|D00055-B,0.21,Medium
U00056,Mumbai,Wallet,1146.99,424.29,Swiggy|Myntra|Paytm|Netflix|McDonalds,10,22,D00056-A|D00056-B,0.03,Low
U00057,Kolkata,Card,1411.45,842.76,Flipkart|Paytm|Zomato|Myntra|Hotstar,8,20,D00057-A|D00057-B,0.23,High
U00058,Ahmedabad,UPI,3081.94,2092.65,BookMyShow|BigBasket|Zomato|Myntra|Zerodha,6,20,D00058-A|D00058-B,0.15,High
U00059,Hyderabad,NetBanking,4038.05,1271.78,MakeMyTrip|Hotstar|Amazon|Myntra|Uber,10,21,D00059-A|D00059-B,0.23,High
U00060,Kolkata,UPI,4754.49,2733.28,Hotstar|Swiggy|Paytm|Amazon|McDonalds,8,20,D00060-A|D00060-B,0.23,High
U00061,Hyderabad,NetBanking,731.12,397.0,BookMyShow|Zerodha|MakeMyTrip|McDonalds|Myntra,8,23,D00061-A|D00061-B,0.12,Low
U00062,Chennai,Card,4792.79,2277.91,Hotstar|Zerodha|Paytm|Uber|Groww,9,20,D00062-A|D00062-B,0.08,Low
U00063,Pune,UPI,1277.35,677.34,IRCTC|Myntra|MakeMyTrip|McDonalds|PhonePe,6,20,D00063-A|D00063-B,0.06,High
U00064,Bangalore,NetBanking,535.2,214.36,Ola|MakeMyTrip|Netflix|Paytm|Zerodha,8,22,D00064-A|D00064-B,0.13,High
U00065,Hyderabad,Wallet,4301.61,1361.44,Spotify|Amazon|Netflix|IRCTC|Zerodha,9,20,D00065-A|D00065-B,0.24,Medium
U00066,Bangalore,Wallet,1005.03,380.74,Swiggy|Zomato|Myntra|Spotify|Netflix,6,22,D00066-A|D00066-B,0.19,Medium
U00067,Kolkata,NetBanking,3354.0,2010.53,Paytm|Netflix|Uber|PhonePe|Ola,6,23,D00067-A|D00067-B,0.15,High
U00068,Mumbai,Wallet,3886.23,1855.44,Hotstar|BookMyShow|Uber|Groww|McDonalds,8,22,D00068-A|D00068-B,0.14,Medium
U00069,Mumbai,UPI,2736.56,1223.74,McDonalds|Myntra|Ola|Zomato|Groww,8,19,D00069-A|D00069-B,0.08,High
U00070,Kolkata,NetBanking,4606.7,1441.82,Hotstar|Amazon|Spotify|Netflix|BookMyShow,11,20,D00070-A|D00070-B,0.08,Medium
U00071,Pune,Card,4035.83,2050.08,Amazon|Spotify|Uber|IRCTC|MakeMyTrip,9,22,D00071-A|D00071-B,0.05,Medium
U00072,Bangalore,Wallet,473.25,262.26,BookMyShow|Zerodha|Zomato|Myntra|Hotstar,11,20,D00072-A|D00072-B,0.05,Low
